Movie_Name,Certification,Release_Date,Genres,Language,Budget,Revenue,Runtime
Kung Fu Panda 3,PG,03/17/2016,"['Action,', 'Adventure,', 'Animation,', 'Comedy,', 'Family']",English,"$145,000,000.00","$521,170,825.00",95.0
Spider-Man: Across the Spider-Verse,,06/01/2023,"['Animation,', 'Action,', 'Adventure,', 'Science Fiction']",Language,Budget,-,
The Hobbit: An Unexpected Journey,PG-13,12/13/2012,"['Adventure,', 'Fantasy,', 'Action']",English,"$250,000,000.00","$1,021,103,568.00",169.0
Creed,PG-13,11/26/2015,"['Drama,', 'Action']",English,"$37,000,000.00","$173,567,581.00",133.0
The Substitute,15,10/20/2022,"['Drama,', 'Crime']",Status,Original,-,111.0
The Notebook,PG-13,06/25/2004,"['Romance,', 'Drama']",English,"$29,000,000.00","$115,603,229.00",123.0
The Penitent Thief,M,12/22/2020,['Drama'],English,-,"$23,800.00",93.0
Toy Story 3,G,06/17/2010,"['Animation,', 'Family,', 'Comedy']",English,"$200,000,000.00","$1,066,969,703.00",103.0
The Lord of the Rings: The Two Towers,PG-13,12/18/2002,"['Adventure,', 'Fantasy,', 'Action']",English,"$79,000,000.00","$926,287,400.00",179.0
The Outfit,R,03/18/2022,"['Crime,', 'Drama,', 'Thriller']",English,-,"$4,026,709.00",105.0
One Punch Man: Road to Hero,,12/04/2015,"['Action,', 'Animation']",Status,Original,-,
Tarzan,G,06/18/1999,"['Family,', 'Adventure,', 'Animation,', 'Drama']",English,"$130,000,000.00","$448,191,819.00",88.0
Yu Pui Tsuen,,12/12/1986,[''],Released,Language,-,93.0
Wrong Turn,R,05/30/2003,"['Horror,', 'Thriller']",English,"$12,600,000.00","$28,650,575.00",84.0
Tinker Bell and the Lost Treasure,G,10/16/2009,"['Animation,', 'Family,', 'Adventure,', 'Fantasy']",English,-,-,81.0
Snow White and the Seven Dwarfs,G,10/31/1945,"['Fantasy,', 'Animation,', 'Family']",English,"$1,488,423.00","$184,925,486.00",83.0
Under Wraps 2,G,09/30/2022,"['Family,', 'Comedy,', 'Fantasy,', 'TV Movie']",English,-,-,83.0
Deadpool 2,R,05/10/2018,"['Action,', 'Comedy,', 'Adventure']",English,"$110,000,000.00","$786,365,638.00",
The Mummy,PG-13,06/17/1999,"['Adventure,', 'Action,', 'Fantasy']",English,"$80,000,000.00","$415,885,488.00",124.0
The Simpsons Movie,PG-13,07/27/2007,"['Animation,', 'Comedy,', 'Family']",English,"$75,000,000.00","$527,068,851.00",87.0
The Forever Purge,NC16,08/26/2021,"['Horror,', 'Action,', 'Thriller']",English,"$18,000,000.00","$76,994,245.00",103.0
3-D Sex and Zen: Extreme Ecstasy,III,04/14/2011,"['Drama,', 'Adventure,', 'Romance']",Released,Language,-,118.0
Back to the Future,PG,07/03/1985,"['Adventure,', 'Comedy,', 'Science Fiction']",English,"$19,000,000.00","$381,109,762.00",116.0
Bromates,R,10/07/2022,['Comedy'],English,-,-,97.0
Selena Gomez: My Mind & Me,NC16,11/04/2022,"['Documentary,', 'Music']",English,-,-,95.0
Heat,R,12/15/1995,"['Action,', 'Crime,', 'Drama,', 'Thriller']",English,"$60,000,000.00","$187,436,818.00",170.0
Prisoner of Love,NR,01/09/2022,"['Thriller,', 'TV Movie,', 'Drama']",English,-,-,85.0
Cat Pack: A PAW Patrol Exclusive Event,G,06/24/2022,"['Animation,', 'Family']",English,-,-,68.0
The Desperate Hour,PG13,03/31/2022,['Thriller'],English,-,-,84.0
Puss in Book: Trapped in an Epic Tale,G,06/20/2017,"['Family,', 'Fantasy,', 'Animation,', 'Comedy,', 'Adventure']",English,-,-,
The Killer,18+,07/13/2022,"['Action,', 'Crime']",죽어도,아이,-,95.0
Incantation,NC16,07/08/2022,['Horror'],Released,Language,"$5,700,000.00",111.0
Matriarch,R,10/11/2022,['Horror'],English,-,-,85.0
The Visitor,NR,10/07/2022,"['Horror,', 'Mystery,', 'Thriller']",English,-,-,86.0
Tom & Jerry,PG,02/11/2021,"['Comedy,', 'Family,', 'Animation']",English,"$50,000,000.00","$132,000,000.00",101.0
Penguins of Madagascar,PG,11/26/2014,"['Family,', 'Animation,', 'Adventure,', 'Comedy']",English,"$132,000,000.00","$373,552,094.00",92.0
Iron Man 3,PG,04/25/2013,"['Action,', 'Adventure,', 'Science Fiction']",English,"$200,000,000.00","$1,214,811,252.00",130.0
Capturing Avatar,G,11/16/2010,['Documentary'],English,-,-,98.0
Pacific Rim,PG-13,07/11/2013,"['Action,', 'Science Fiction,', 'Adventure']",English,"$180,000,000.00","$407,602,906.00",131.0
The Darker the Lake,16+,03/01/2022,"['Crime,', 'Thriller,', 'Mystery']",English,-,-,100.0
Corpse Bride,PG13,09/29/2005,"['Romance,', 'Fantasy,', 'Animation']",English,"$40,000,000.00","$118,133,252.00",77.0
Wrong Turn 2: Dead End,R,10/08/2007,"['Horror,', 'Thriller']",English,"$4,000,000.00",-,96.0
A Bug's Life,G,12/04/1998,"['Adventure,', 'Animation,', 'Comedy,', 'Family']",English,"$120,000,000.00","$363,258,859.00",95.0
Pulp Fiction,R21,04/18/2011,"['Thriller,', 'Crime']",English,"$8,000,000.00","$214,179,088.00",154.0
Logan,R,03/02/2017,"['Action,', 'Drama,', 'Science Fiction']",English,"$97,000,000.00","$619,021,436.00",137.0
Virgin Forest,R-18,06/24/2022,['Thriller'],Tagalog,-,-,113.0
Jeepers Creepers 2,R,10/31/2003,['Horror'],English,"$17,000,000.00","$63,102,666.00",104.0
KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,保護級,02/27/2020,"['Animation,', 'Adventure,', 'Comedy,', 'Fantasy']",Status,Original,-,90.0
Paradise Inn Phuket: The Taste of College Students,19+,11/10/2019,"['Drama,', 'Romance']",푸켓:여대생의,Status,-,62.0
Nobody,NC16,04/22/2021,"['Action,', 'Crime,', 'Thriller']",English,"$17,000,000.00","$61,779,301.00",92.0
Maze Runner: The Scorch Trials,PG-13,09/10/2015,"['Science Fiction,', 'Action,', 'Thriller,', 'Adventure']",English,"$61,000,000.00","$312,296,056.00",131.0
The Sadness,18,01/22/2021,"['Horror,', 'Thriller']",Released,Language,-,99.0
Kung Fu Panda 2,PG,05/25/2011,"['Animation,', 'Family']",English,"$150,000,000.00","$665,692,281.00",91.0
Spiderhead,R,06/15/2022,"['Science Fiction,', 'Thriller']",English,-,-,106.0
Scary Movie 2,R,08/02/2001,['Comedy'],English,"$45,000,000.00","$141,220,678.00",83.0
Naruto Shippuden the Movie: Blood Prison,PG-13,07/30/2011,"['Thriller,', 'Animation,', 'Action,', 'Comedy,', 'Horror,', 'Mystery']",-ナルト-,Status,"$9,100,000.00",108.0
American Psycho,R,04/14/2000,"['Thriller,', 'Drama,', 'Crime']",English,"$7,000,000.00","$34,266,564.00",102.0
Monsters University,G,06/20/2013,"['Animation,', 'Family']",English,"$200,000,000.00","$743,559,607.00",104.0
Deathstroke: Knights & Dragons - The Movie,R,08/04/2020,"['Animation,', 'Action,', 'Adventure,', 'Science Fiction']",English,-,-,87.0
Apocalypto,R,12/08/2006,"['Action,', 'Drama,', 'History']",English,"$40,000,000.00","$120,654,337.00",139.0
Paprika,VM18,02/13/1991,['Drama'],Italian,-,-,99.0
Bubble,M18,04/28/2022,"['Animation,', 'Adventure,', 'Science Fiction']",Released,Language,-,101.0
Brave,PG,08/08/2012,"['Animation,', 'Adventure,', 'Comedy,', 'Family,', 'Action,', 'Fantasy']",English,"$185,000,000.00","$538,983,207.00",93.0
The Seven Deadly Sins: Grudge of Edinburgh Part 1,PG13,12/20/2022,"['Animation,', 'Fantasy,', 'Adventure,', 'Action']",Status,Original,-,
Monster Hunter,PG13,12/24/2020,"['Action,', 'Fantasy,', 'Adventure']",English,"$60,000,000.00","$42,145,959.00",104.0
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),NC16,02/06/2020,"['Action,', 'Crime']",English,"$75,000,000.00","$201,858,461.00",109.0
The Adventures of Sharkboy and Lavagirl,PG,06/10/2005,"['Adventure,', 'Family,', 'Science Fiction']",English,"$50,000,000.00","$71,992,655.00",92.0
Black Adam: Saviour or Destroyer?,,10/16/2022,['Documentary'],English,-,-,
Abraham Lincoln: Vampire Hunter,R,07/05/2012,"['Action,', 'Fantasy,', 'Horror']",English,"$69,000,000.00","$116,471,580.00",105.0
White Elephant,16,06/03/2022,"['Action,', 'Crime,', 'Thriller']",English,-,-,93.0
Scary Movie 5,PG-13,04/12/2013,['Comedy'],English,"$20,000,000.00","$78,378,744.00",86.0
Erotic Tutoring,19+,12/20/2016,"['Romance,', 'Comedy,', 'Drama']",Status,Original,-,83.0
The Lost Lotteries,NC16,11/16/2022,"['Crime,', 'Comedy']",Released,Language,-,106.0
The Dark Knight Rises,PG,07/19/2012,"['Action,', 'Crime,', 'Drama,', 'Thriller']",English,"$250,000,000.00","$1,081,041,287.00",165.0
Evil Dead,R21,05/08/2013,['Horror'],English,"$17,000,000.00","$97,542,952.00",96.0
Reno 911!: It's a Wonderful Heist,,12/03/2022,"['Comedy,', 'Fantasy,', 'Crime,', 'TV Movie']",English,-,-,79.0
Aquaman,PG13,12/13/2018,"['Action,', 'Adventure,', 'Fantasy']",English,"$160,000,000.00","$1,148,528,393.00",143.0
Parasite,M18,06/27/2019,"['Comedy,', 'Thriller,', 'Drama']",Released,Language,"$257,591,776.00",133.0
Ripper Untold,15,06/28/2021,['Horror'],English,-,-,85.0
The School Teacher,VM18,07/11/1975,['Comedy'],Released,Language,-,89.0
Bride of Chucky,R,10/16/1998,"['Comedy,', 'Horror']",English,"$25,000,000.00","$50,671,850.00",89.0
End of the Road,R21,09/09/2022,"['Thriller,', 'Drama,', 'Crime']",English,-,-,89.0
Taken,PG-13,01/30/2009,"['Action,', 'Thriller']",English,"$25,000,000.00","$226,830,568.00",94.0
Blended,PG-13,06/04/2014,['Comedy'],English,"$40,000,000.00","$127,994,610.00",117.0
Wreck-It Ralph,PG,12/20/2012,"['Family,', 'Animation,', 'Comedy,', 'Adventure']",English,"$165,000,000.00","$471,222,889.00",101.0
Baby Ruby,,02/03/2023,"['Drama,', 'Horror']",English,-,-,93.0
The Twilight Saga: New Moon,PG-13,11/20/2009,"['Adventure,', 'Fantasy,', 'Drama,', 'Romance']",English,"$50,000,000.00","$709,827,462.00",131.0
Death Race,15,09/26/2008,"['Action,', 'Thriller,', 'Science Fiction']",English,"$45,000,000.00","$76,014,335.00",105.0
Grounded: Making The Last of Us,,06/14/2013,['Documentary'],English,-,-,85.0
Batman v Superman: Dawn of Justice,PG-13,03/25/2016,"['Action,', 'Adventure,', 'Fantasy']",English,"$250,000,000.00","$873,637,528.00",152.0
2037,15,06/08/2022,"['Family,', 'Drama']",Released,Language,-,126.0
Six Swedish Girls in a Boarding School,18,09/28/1979,['Comedy'],im,Status,-,91.0
Me Time,M18,08/26/2022,['Comedy'],English,-,-,104.0
Shazam! Fury of the Gods,PG13,03/16/2023,"['Fantasy,', 'Action,', 'Comedy']",Language,Budget,-,130.0
Exploits of a Young Don Juan,U,03/11/1987,"['Comedy,', 'Drama']",d'un,Don,-,95.0
Collision,M18,06/16/2022,"['Thriller,', 'Crime,', 'Drama']",English,-,-,99.0
Sing,PG,12/21/2016,"['Animation,', 'Comedy,', 'Family,', 'Music']",English,"$75,000,000.00","$634,151,679.00",108.0
Oscenità,18,02/14/1980,['Drama'],è,Status,-,84.0
Knowing,PG-13,03/20/2009,"['Action,', 'Mystery,', 'Science Fiction,', 'Thriller']",English,"$50,000,000.00","$155,446,362.00",121.0
Maze Runner: The Death Cure,PG-13,01/26/2018,"['Science Fiction,', 'Action,', 'Adventure,', 'Thriller']",English,"$62,000,000.00","$288,175,335.00",143.0
Rurouni Kenshin: The Beginning,M18,07/30/2021,"['Action,', 'Adventure,', 'Drama']",The,Status,-,138.0
Mack & Rita,PG-13,08/12/2022,"['Comedy,', 'Fantasy']",English,-,-,95.0
Marudase Kintarou,16,12/11/2020,"['Romance,', 'Comedy,', 'Animation']",Released,Language,-,
Chernobyl: Abyss,PG,04/15/2022,"['Drama,', 'History,', 'Adventure,', 'Action,', 'Fantasy,', 'Mystery']",Released,Language,"$6,459,306.00",136.0
Summit Fever,15,10/17/2022,"['Drama,', 'Thriller']",English,-,-,115.0
Texas Chainsaw Massacre,R21,02/18/2022,"['Horror,', 'Thriller']",English,"$20,000,000.00",-,83.0
Project X,R,03/02/2012,['Comedy'],English,"$12,000,000.00","$102,731,865.00",88.0
Waktu Maghrib,17+,02/09/2023,['Horror'],Indonesian,-,-,104.0
The Intouchables,U,12/13/2012,"['Drama,', 'Comedy']",Released,Language,"$426,588,510.00",113.0
Thor: The Dark World,12A,11/14/2013,"['Action,', 'Adventure,', 'Fantasy']",English,"$170,000,000.00","$644,571,402.00",112.0
Pearl,R,09/16/2022,['Horror'],English,"$1,000,000.00","$9,423,445.00",102.0
Ron's Gone Wrong,PG,10/21/2021,"['Animation,', 'Science Fiction,', 'Family,', 'Comedy']",English,-,"$60,000,000.00",107.0
Spirit: Stallion of the Cimarron,G,05/24/2002,"['Western,', 'Animation,', 'Adventure,', 'Comedy,', 'Family,', 'Drama']",English,"$80,000,000.00","$122,563,539.00",83.0
The Jungle Book,G,10/18/1967,"['Family,', 'Animation,', 'Adventure']",English,"$4,000,000.00","$205,843,612.00",78.0
Stowaway,15,08/05/2022,"['Thriller,', 'Action']",English,-,-,94.0
Nobody's Hero,U,03/02/2022,['Drama'],t'emmène,Released,-,100.0
Despicable Me,PG,07/08/2010,"['Family,', 'Animation,', 'Comedy,', 'Crime']",English,"$69,000,000.00","$533,679,475.00",95.0
The Meg,PG13,08/09/2018,"['Action,', 'Science Fiction,', 'Horror']",English,"$150,000,000.00","$530,243,742.00",113.0
Predator,R,06/12/1987,"['Science Fiction,', 'Action,', 'Adventure,', 'Thriller']",English,"$15,000,000.00","$98,267,558.00",107.0
The Ballad of Buster Scruggs,M18,11/16/2018,"['Western,', 'Comedy,', 'Drama']",English,-,-,132.0
Ava,R,09/25/2020,"['Action,', 'Crime,', 'Drama,', 'Adventure,', 'Thriller']",English,-,"$2,987,741.00",96.0
Tinker Bell and the Great Fairy Rescue,G,09/21/2010,"['Animation,', 'Adventure,', 'Family,', 'Fantasy']",English,-,-,76.0
Dragon Ball Z: Bardock - The Father of Goku,NR,10/17/1990,"['Animation,', 'Action,', 'Science Fiction,', 'Drama,', 'Fantasy']",孫悟空の父〜,Released,-,
The Hangover Part II,R,06/02/2011,['Comedy'],English,"$80,000,000.00","$586,764,305.00",102.0
Legend Quest: The Origin,,02/15/2021,"['Animation,', 'Comedy,', 'Fantasy,', 'Adventure,', 'Family']",El,Status,-,90.0
Mad Max: Fury Road,NC16,05/14/2015,"['Action,', 'Adventure,', 'Science Fiction']",English,"$150,000,000.00","$378,858,340.00",121.0
Lee Chaedam's G-Spot,19+,10/26/2017,['Romance'],Status,Original,-,77.0
The Equalizer,R,09/25/2014,"['Thriller,', 'Action,', 'Crime']",English,"$55,000,000.00","$192,330,738.00",132.0
American Sicario,R,12/10/2021,"['Crime,', 'Action']",English,-,-,90.0
Lilo & Stitch,PG,06/21/2002,"['Animation,', 'Family']",English,"$80,000,000.00","$273,144,151.00",85.0
Shazam!,PG,04/04/2019,"['Action,', 'Comedy,', 'Fantasy']",English,"$80,000,000.00","$366,080,049.00",132.0
Guardians of the Galaxy Vol. 2,PG-13,04/27/2017,"['Adventure,', 'Action,', 'Science Fiction']",English,"$200,000,000.00","$863,756,051.00",137.0
Incredibles 2,PG,06/15/2018,"['Action,', 'Adventure,', 'Animation,', 'Family']",English,"$200,000,000.00","$1,242,805,359.00",118.0
Fruitvale Station,R,07/26/2013,['Drama'],English,"$900,000.00","$17,549,645.00",82.0
Pirates of the Caribbean: Dead Men Tell No Tales,PG-13,05/26/2017,"['Adventure,', 'Action,', 'Fantasy']",English,"$230,000,000.00","$794,861,794.00",128.0
The House,PG13,01/14/2022,"['Animation,', 'Drama,', 'Comedy,', 'Horror,', 'Fantasy']",English,-,-,97.0
Dragon Ball Z: Cooler's Revenge,PG,07/20/1991,"['Action,', 'Animation,', 'Science Fiction']",Status,Original,"$16,331,742.00",
A Whisker Away,PG,06/18/2020,"['Animation,', 'Drama,', 'Romance,', 'Fantasy']",Released,Language,-,104.0
Scooby-Doo,PG,06/14/2002,"['Mystery,', 'Adventure,', 'Comedy']",English,"$84,000,000.00","$275,650,703.00",88.0
Aladdin,G,11/25/1992,"['Animation,', 'Family,', 'Adventure,', 'Fantasy,', 'Romance']",English,"$28,000,000.00","$504,050,219.00",90.0
Army of Thieves,R21,10/29/2021,"['Crime,', 'Comedy']",English,-,-,127.0
Mulan,PG-13,03/09/2020,"['Adventure,', 'Fantasy,', 'Drama,', 'Action']",English,"$200,000,000.00","$66,800,000.00",115.0
Panama,R,03/18/2022,['Thriller'],English,-,-,100.0
Scream,R,08/14/1997,"['Crime,', 'Horror,', 'Mystery']",English,"$14,000,000.00","$173,046,663.00",112.0
Despicable Me 2,PG,07/03/2013,"['Animation,', 'Comedy,', 'Family']",English,"$76,000,000.00","$970,761,885.00",98.0
Tom Clancy's Without Remorse,M18,04/30/2021,"['Action,', 'Thriller']",English,-,-,109.0
Taken 2,PG-13,10/04/2012,"['Action,', 'Crime,', 'Thriller']",English,"$45,000,000.00","$376,141,306.00",91.0
Don't Breathe 2,M18,11/11/2021,"['Thriller,', 'Horror']",English,"$10,000,000.00","$53,785,551.00",98.0
Hustle,NC16,06/08/2022,"['Drama,', 'Comedy']",English,-,-,118.0
Hatching,K-16,03/04/2022,"['Horror,', 'Fantasy']",Released,Language,"$490,000.00",91.0
Hansan: Rising Dragon,12,07/27/2022,"['History,', 'Action,', 'Drama,', 'War']",출현,Released,-,130.0
Ava,18,06/21/2017,['Drama'],French,"$3,000,000.00","$500,000.00",106.0
Scarface,R,12/09/1983,"['Action,', 'Crime,', 'Drama']",English,"$25,000,000.00","$66,023,329.00",169.0
Constantine: The House of Mystery,R,05/03/2022,"['Animation,', 'Action,', 'Adventure,', 'Horror']",English,-,-,
Meet Joe Black,PG-13,11/12/1998,"['Fantasy,', 'Drama,', 'Romance']",English,"$90,000,000.00","$142,940,100.00",178.0
Man of Steel,PG-13,06/13/2013,"['Action,', 'Adventure,', 'Science Fiction']",English,"$225,000,000.00","$754,045,518.00",143.0
Tom and Jerry Cowboy Up!,G,01/25/2022,"['Animation,', 'Comedy,', 'Family,', 'Western']",English,-,-,75.0
"Salò, or the 120 Days of Sodom",VM18,05/01/2003,"['Drama,', 'War,', 'Horror']",le,giornate,"$22,017.00",117.0
Where the Crawdads Sing,NC16,09/22/2022,"['Mystery,', 'Drama,', 'Thriller']",English,-,"$127,000,000.00",125.0
Dawn of the Planet of the Apes,PG-13,07/17/2014,"['Science Fiction,', 'Action,', 'Drama,', 'Thriller']",English,"$170,000,000.00","$710,644,566.00",130.0
The Addams Family,PG-13,02/22/2000,"['Comedy,', 'Fantasy']",English,"$30,000,000.00","$191,502,426.00",102.0
The Grinch,PG,11/09/2018,"['Animation,', 'Family,', 'Comedy,', 'Fantasy']",English,"$75,000,000.00","$508,575,295.00",85.0
Wifelike,R,08/12/2022,"['Science Fiction,', 'Mystery,', 'Thriller']",English,-,-,106.0
Lolita,R,09/27/1997,['Drama'],English,"$62,000,000.00","$1,071,255.00",137.0
No Manches Frida 2,,03/15/2019,['Comedy'],Spanish;,Budget,-,102.0
How the Grinch Stole Christmas,PG,11/17/2000,"['Family,', 'Comedy,', 'Fantasy']",English,"$123,000,000.00","$345,823,040.00",104.0
Restart The Earth,A,09/03/2021,"['Science Fiction,', 'Horror,', 'Action']",Released,Language,-,89.0
Sex Exchange,19+,06/29/2018,"['Drama,', 'Romance']",Status,Original,-,69.0
Bela Luna,R-18,01/27/2023,['Drama'],Tagalog,-,-,109.0
Captain Marvel,PG13,03/07/2019,"['Action,', 'Adventure,', 'Science Fiction']",English,"$152,000,000.00","$1,128,276,090.00",124.0
Presences,,09/07/2022,['Horror'],Released,Language,-,
Just Go with It,PG-13,02/11/2011,"['Comedy,', 'Romance']",English,"$80,000,000.00","$214,945,591.00",117.0
Jumanji: Welcome to the Jungle,PG-13,12/20/2017,"['Adventure,', 'Action,', 'Comedy,', 'Fantasy']",English,"$90,000,000.00","$962,102,237.00",119.0
God's Crooked Lines,16,12/09/2022,"['Drama,', 'Mystery,', 'Thriller']",torcidos,Dios,-,155.0
Insurgent,PG-13,03/20/2015,"['Action,', 'Adventure,', 'Science Fiction,', 'Thriller']",English,"$110,000,000.00","$295,238,201.00",119.0
Dragon Ball Z: Bojack Unbound,PG,07/10/1993,"['Action,', 'Animation,', 'Science Fiction']",ぶっちぎりの凄い奴,Released,"$20,100,000.00",
Beauty and the Beast,PG,03/16/2017,"['Family,', 'Fantasy,', 'Romance']",English,"$160,000,000.00","$1,263,521,126.00",129.0
The Blind Side,PG-13,11/20/2009,['Drama'],English,"$29,000,000.00","$309,208,309.00",129.0
Vesper,PG13,10/06/2022,"['Science Fiction,', 'Drama,', 'Adventure']",English,-,"$889,529.00",112.0
Ice Age: The Meltdown,PG,03/30/2006,"['Animation,', 'Family,', 'Comedy,', 'Adventure']",English,"$80,000,000.00","$660,998,756.00",91.0
Private Lesson,NC16,12/16/2022,"['Comedy,', 'Romance']",Status,Original,-,89.0
Madagascar 3: Europe's Most Wanted,PG,06/07/2012,"['Animation,', 'Family,', 'Comedy,', 'Adventure']",English,"$145,000,000.00","$746,921,274.00",93.0
The Student,,09/27/2015,['Drama'],Status,Original,-,
Ted,M18,09/13/2012,"['Comedy,', 'Fantasy']",English,"$50,000,000.00","$549,368,315.00",107.0
Female Doctor: Flesh Slave,,03/08/1986,['Crime'],Released,Language,-,68.0
Whiplash,R,10/10/2014,"['Drama,', 'Music']",English,"$3,300,000.00","$13,092,000.00",107.0
Us X Her,R-18,11/25/2022,['Drama'],Tagalog,-,-,103.0
Yaksha: Ruthless Operations,NC16,04/08/2022,"['Action,', 'Adventure,', 'Crime,', 'Thriller']",Released,Language,-,125.0
Wrong Turn 5: Bloodlines,R,10/23/2012,"['Horror,', 'Thriller']",English,"$3,000,000.00",-,91.0
Kimi,M18,02/10/2022,['Thriller'],English,"$3,500,000.00",-,89.0
Catch the Fair One,NR,02/11/2022,"['Crime,', 'Thriller,', 'Drama']",English,-,-,85.0
Pacific Rim: Uprising,PG-13,03/23/2018,"['Action,', 'Fantasy,', 'Science Fiction,', 'Adventure']",English,"$150,000,000.00","$290,061,297.00",111.0
The Wolfman,R,02/12/2010,"['Horror,', 'History,', 'Drama,', 'Thriller']",English,"$150,000,000.00",-,102.0
Finch,PG13,11/05/2021,"['Science Fiction,', 'Drama,', 'Adventure']",English,"$2,500,000.00",-,115.0
Love & Other Drugs,R,11/24/2010,"['Drama,', 'Comedy,', 'Romance']",English,"$30,000,000.00","$102,820,008.00",112.0
The Passion of the Christ,R21,04/01/2004,['Drama'],English,"$30,000,000.00","$611,899,420.00",127.0
Matilda,PG,08/02/1996,"['Comedy,', 'Family,', 'Fantasy']",English,"$36,000,000.00","$33,459,416.00",98.0
Annabelle Comes Home,PG13,06/26/2019,"['Horror,', 'Mystery,', 'Thriller']",English,"$30,000,000.00","$231,252,591.00",106.0
Maleficent,PG,05/29/2014,"['Fantasy,', 'Adventure,', 'Action,', 'Family,', 'Romance']",English,"$180,000,000.00","$758,539,785.00",97.0
Maleficent: Mistress of Evil,PG,10/17/2019,"['Family,', 'Fantasy,', 'Adventure,', 'Action']",English,"$185,000,000.00","$491,730,089.00",119.0
Justice League,PG,11/16/2017,"['Action,', 'Adventure,', 'Science Fiction']",English,"$300,000,000.00","$657,926,987.00",
White Chicks,PG-13,06/23/2004,"['Comedy,', 'Crime']",English,"$37,000,000.00","$113,086,475.00",109.0
Stand by Me Doraemon 2,G,11/20/2020,"['Animation,', 'Family,', 'Science Fiction']",ME,Status,-,96.0
Raped by an Angel 4: The Rapist's Union,Category III,01/17/1999,['Thriller'],Released,Language,-,81.0
Yu Pui Tsuen III,,08/10/1996,['Drama'],Released,Language,-,96.0
Crank,R,08/31/2006,"['Action,', 'Thriller,', 'Crime']",English,"$12,000,000.00","$42,931,041.00",88.0
The Wandering Earth,PG13,04/30/2019,"['Science Fiction,', 'Action,', 'Drama']",Released,Language,-,126.0
Madagascar: Escape 2 Africa,PG,11/06/2008,"['Family,', 'Adventure,', 'Animation,', 'Comedy']",English,"$150,000,000.00","$603,900,354.00",89.0
Baby Driver,NC16,07/20/2017,"['Action,', 'Crime']",English,"$34,000,000.00","$226,945,087.00",113.0
Pokémon Detective Pikachu,PG,05/09/2019,"['Action,', 'Adventure,', 'Fantasy']",English,"$150,000,000.00","$433,005,346.00",105.0
Porno,,01/01/1981,['Drama'],Released,Language,-,83.0
Brother Bear,G,10/23/2003,"['Adventure,', 'Animation,', 'Family']",English,"$128,000,000.00","$250,397,798.00",85.0
11th Hour Cleaning,15,07/05/2022,['Horror'],English,-,-,72.0
Snake Eyes: G.I. Joe Origins,PG13,07/22/2021,"['Action,', 'Adventure']",English,"$88,000,000.00","$36,964,325.00",121.0
Pokémon the Movie: Secrets of the Jungle,PG,10/08/2021,"['Animation,', 'Adventure,', 'Family,', 'Science Fiction,', 'Action,', 'Fantasy']",Status,Original,-,98.0
Crank: High Voltage,R,04/16/2009,"['Action,', 'Thriller,', 'Crime']",English,"$20,000,000.00","$34,560,577.00",96.0
Teen Wolf,PG,08/23/1985,"['Comedy,', 'Fantasy,', 'Romance']",English,"$1,200,000.00","$80,000,000.00",91.0
Dinosaur,PG,05/19/2000,"['Family,', 'Animation']",English,"$127,500,000.00","$354,248,063.00",82.0
Young Sister-in-law 3,19+,05/24/2019,['Romance'],3,Released,-,76.0
A Silent Voice: The Movie,PG-13,03/09/2017,"['Animation,', 'Drama']",Status,Original,"$30,156,463.00",130.0
Spirited,NC16,11/18/2022,['Comedy'],English,"$75,000,000.00",-,127.0
Orphan,12,08/13/2009,"['Horror,', 'Thriller,', 'Mystery']",English,"$20,000,000.00","$77,912,251.00",123.0
Power Rangers,PG-13,03/24/2017,"['Action,', 'Adventure,', 'Science Fiction']",English,"$105,000,000.00","$142,337,240.00",124.0
My Sweet Monster,6+,04/28/2022,"['Animation,', 'Adventure,', 'Family']",любимое,Status,-,98.0
Prometheus,15,06/07/2012,"['Science Fiction,', 'Adventure,', 'Mystery']",English,"$130,000,000.00","$403,354,469.00",124.0
Ice Age: Continental Drift,PG,07/12/2012,"['Animation,', 'Comedy,', 'Adventure,', 'Family']",English,"$95,000,000.00","$877,244,782.00",88.0
Journey 2: The Mysterious Island,PG,02/10/2012,"['Adventure,', 'Action,', 'Science Fiction']",English,"$79,000,000.00","$355,692,760.00",94.0
Pixels,PG-13,08/13/2015,"['Action,', 'Comedy,', 'Science Fiction']",English,"$88,000,000.00","$244,874,809.00",105.0
Boarding House: Hungry Wolves,19+,03/13/2020,['Romance'],굶주린,Status,-,86.0
Shutter Island,R,02/18/2010,"['Drama,', 'Thriller,', 'Mystery']",English,"$80,000,000.00","$294,800,000.00",138.0
Greenland,PG-13,08/13/2020,"['Action,', 'Thriller,', 'Drama']",English,"$34,000,000.00","$52,300,000.00",
Kingsman: The Secret Service,15,02/12/2015,"['Crime,', 'Comedy,', 'Action,', 'Adventure']",English,"$81,000,000.00","$414,351,546.00",129.0
Hancock,PG-13,07/01/2008,"['Fantasy,', 'Action']",English,"$150,000,000.00","$629,443,428.00",92.0
Inglourious Basterds,R,08/21/2009,"['Drama,', 'Action,', 'Thriller,', 'War']",English,"$70,000,000.00","$321,457,747.00",153.0
Rio,G,04/07/2011,"['Animation,', 'Adventure,', 'Comedy,', 'Family']",English,"$90,000,000.00","$484,635,760.00",96.0
